id,manufacturer,model,kv,max_current_a,voltage_max_v,voltage_min_v,max_power_w,mass_g,price_usd,url,Ref.,Kv_SI,Pole (number),Io (A),R_ohm,No s,Voltage,Kt_Nm_A,Tnom_Nm,Rend nom,Icc,I opt,Eta opt,Cf_Nm,Tmax_Nm,power_margin,current_margin,mass_score,price_score,margin_score,score,v_nom_used,thrust_per_motor_gf,hover_power_w_est,peak_power_w_est,peak_current_a_est
mtr_9,SCORPION,?Scorpion SII-4025-330KV,330,75.0,44.4,7.4,3330.0,353.0,50.0,,82.0,34.55751919,14.0,0.74,0.037,12.0,44.4,0.028937262,2.149,92.825,1200.0,29.79932885,95.09511186,0.021413574,2.170294679,4.370625012763756,2.1853125063818784,0.128428927680798,0.0,3.277968759572817,-0.9320190567995259,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_082,SCORPION,?Scorpion SII-4025-330KV,330,75.0,44.4,7.4,3330.0,353.0,50.0,,,,,,,,,,,,,,,,,4.370625012763756,2.1853125063818784,0.128428927680798,0.0,3.277968759572817,-0.9320190567995259,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_070,SCORPION,?Scorpion SII-3026-890KV (V2),890,70.0,44.4,7.4,3108.0,205.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.06691604322527016,0.0,3.0594375089346295,-0.8910648353902807,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_073,SCORPION,?Scorpion SII-3032-880KV (V2),880,70.0,44.4,7.4,3108.0,275.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.09600997506234414,0.0,3.0594375089346295,-0.8794272626554511,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_079,SCORPION,?Scorpion SII-4020-420KV,420,70.0,44.4,7.4,3108.0,288.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.10141313383208644,0.0,3.0594375089346295,-0.8772659991475542,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_6,SCORPION,?Scorpion SII-4020-420KV,420,70.0,44.4,7.4,3108.0,288.0,50.0,,79.0,43.98229715,14.0,0.91,0.032,12.0,44.4,0.02273642,1.571,93.72054054,1387.5,35.53343496,94.94364901,0.020690143,1.591549431,4.079250011912839,2.03962500595642,0.10141313383208644,0.0,3.0594375089346295,-0.8772659991475542,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_087,SCORPION,?Scorpion SII-4035-380KV,380,70.0,44.4,7.4,3108.0,435.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.1625103906899418,0.0,3.0594375089346295,-0.852827096404412,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_044,AXI,AXI 5330/18 GOLD LINE,259,80.0,37.0,7.4,2960.0,652.0,50.0,,,,,,,,,,,,,,,,,3.8850000113455607,2.331000006807337,0.25270157938487114,0.0,3.1080000090764486,-0.8313193709689861,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_089,SCORPION,Scorpion S-5028-220KV (F3A Limited Series),220,70.0,44.4,7.4,3108.0,576.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.22111388196176227,0.0,3.0594375089346295,-0.8293856998956839,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_047,AXI,AXI 5345/18HD GOLD LINE,171,75.0,44.4,7.4,3330.0,995.0,50.0,,,,,,,,,,,,,,,,,4.370625012763756,2.1853125063818784,0.39526184538653364,0.0,3.277968759572817,-0.8252858897172316,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
