model,Product Description,Product Code (SKU),Categories,Price ($),Status,Hub Diameter,Hub Thickness,Shaft Diameter,Weight,diameter_in,pitch_in,Diameter (METERS),Pitch (-),Color,UPC Code,Product Weight (NOT for Shipping Calculations) (LBS) ,mass_g,manufacturer,price_usd,url,id,Weight (KG),Ct_static,Cp_static,BETA,J,V,Pe,ct,cp,PWR_Hp,Torque_In-Lbf,Thrust_Lbf,Ct*,Cp*,Dominated,J_adv-ratio,V_mph,Efficiency,diam_diff,mass_score,score
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1558,,,,0.366666667,,,,0.0047,0.009,0.004,0.138,0.03,-0.00072571,0.005829565,,0.6,17.0,0.3119,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1589,,,,0.366666667,,,,0.0,0.0064,0.011,0.221,0.001,-0.003164317,0.004646312,,0.61,26.2,0.0037,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1556,,,,0.366666667,,,,0.014,0.0137,0.007,0.21,0.09,0.011078746,0.011375332,,0.55,15.7,0.5668,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1555,,,,0.366666667,,,,0.0184,0.016,0.008,0.247,0.119,0.015616834,0.013420739,,0.53,15.1,0.6129,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1554,,,,0.366666667,,,,0.0227,0.0183,0.009,0.281,0.147,0.020048438,0.015367345,,0.51,14.5,0.6368,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1553,,,,0.366666667,,,,0.027,0.0204,0.01,0.314,0.174,0.02437255,0.017215152,,0.49,13.9,0.6487,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1552,,,,0.366666667,,,,0.0311,0.0223,0.011,0.344,0.201,0.028588158,0.018964159,,0.47,13.3,0.6531,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1551,,,,0.366666667,,,,0.0352,0.0241,0.012,0.372,0.227,0.032694253,0.020614365,,0.45,12.7,0.6522,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1550,,,,0.366666667,,,,0.0391,0.0258,0.013,0.397,0.252,0.036689825,0.022165772,,0.43,12.1,0.6474,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1549,,,,0.366666667,,,,0.0429,0.0272,0.013,0.419,0.277,0.040573865,0.023618379,,0.41,11.5,0.6396,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1548,,,,0.366666667,,,,0.0466,0.0284,0.014,0.438,0.301,0.04618859,0.025612039,,0.38,10.9,0.6293,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1547,,,,0.366666667,,,,0.0502,0.0295,0.014,0.454,0.324,0.049789379,0.026817645,,0.36,10.3,0.6168,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1546,,,,0.366666667,,,,0.0537,0.0304,0.015,0.469,0.346,0.0532751,0.027924452,,0.34,9.7,0.602,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1545,,,,0.366666667,,,,0.0568,0.0311,0.015,0.479,0.367,0.056644744,0.028932459,,0.32,9.1,0.5844,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1544,,,,0.366666667,,,,0.0601,0.0318,0.016,0.489,0.388,0.0598973,0.029841665,,0.3,8.5,0.5649,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1543,,,,0.366666667,,,,0.0633,0.0323,0.016,0.498,0.409,0.063031759,0.030652072,,0.28,7.9,0.5429,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1542,,,,0.366666667,,,,0.0665,0.0328,0.016,0.505,0.429,0.066047111,0.031363679,,0.26,7.3,0.5182,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1573,,,,0.366666667,,,,0.0635,0.0313,0.052,1.085,0.922,0.063031759,0.030652072,,0.28,11.7,0.5586,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1588,,,,0.366666667,,,,0.0045,0.0085,0.014,0.295,0.066,0.001687161,0.006988119,,0.59,25.3,0.317,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1587,,,,0.366666667,,,,0.0091,0.0107,0.018,0.37,0.132,0.006435185,0.009231125,,0.57,24.4,0.4859,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1586,,,,0.366666667,,,,0.0135,0.0129,0.021,0.446,0.196,0.011078746,0.011375332,,0.55,23.5,0.5798,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1585,,,,0.366666667,,,,0.0179,0.015,0.025,0.521,0.26,0.015616834,0.013420739,,0.53,22.6,0.6315,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1584,,,,0.366666667,,,,0.0222,0.0172,0.028,0.595,0.323,0.020048438,0.015367345,,0.51,21.7,0.6589,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1583,,,,0.366666667,,,,0.0265,0.0192,0.032,0.666,0.385,0.02437255,0.017215152,,0.49,20.8,0.6724,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1582,,,,0.366666667,,,,0.0307,0.0211,0.035,0.731,0.445,0.028588158,0.018964159,,0.47,19.9,0.6776,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1581,,,,0.366666667,,,,0.0347,0.0228,0.038,0.791,0.504,0.032694253,0.020614365,,0.45,19.0,0.6769,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1580,,,,0.366666667,,,,0.0387,0.0244,0.04,0.846,0.562,0.03864585,0.022904425,,0.42,18.1,0.6721,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1579,,,,0.366666667,,,,0.0426,0.0258,0.043,0.894,0.618,0.042473744,0.024307632,,0.4,17.2,0.664,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1578,,,,0.366666667,,,,0.0463,0.0271,0.045,0.938,0.672,0.04618859,0.025612039,,0.38,16.3,0.6528,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1577,,,,0.366666667,,,,0.05,0.0282,0.046,0.977,0.725,0.049789379,0.026817645,,0.36,15.4,0.6388,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1576,,,,0.366666667,,,,0.0535,0.0292,0.048,1.01,0.777,0.0532751,0.027924452,,0.34,14.5,0.6225,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1575,,,,0.366666667,,,,0.0569,0.03,0.049,1.039,0.826,0.056644744,0.028932459,,0.32,13.5,0.6038,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1574,,,,0.366666667,,,,0.0603,0.0307,0.051,1.064,0.875,0.0598973,0.029841665,,0.3,12.6,0.5825,0.5662432913351694,0.12386457473162676,0.31361513478082603
